Correct,Misspellings
reconciliation,reconcilation
reconnaissance,reconaissance reconnaissence
record,recrod
recreational,recrational
recurring,reccuring
reevaluated,revaluated
reference,referrence refference
referral,referal
referred,refered reffered
referring,refering
refers,referrs
refrigerator,refridgerator
refusal,refusla
regardless,irregardless
regular,regluar
regularly,reguarly regularily
rehearsal,rehersal
relationship,relatiopnship
relatively,relativly
relevance,relevence
relevant,relevent
relieve,releive
relieved,releived
religious,religeous religous
remember,remeber
remembrance,rememberance remembrence
reminiscent,reminescent
remnant,reminent
renown,reknown
renowned,reknowned
repartition,repatition
repentance,repentence
repentant,repentent
repetition,repatition repetion
representative,representive
representatives,representives
required,recquired
resemblance,resemblence ressemblance ressemblence
resemble,ressemble
resembled,ressembled
resembling,ressembling
reside,recide
resided,recided
resident,recident
residents,recidents
residing,reciding
resistance,resistence
resistant,resistent
resistible,resistable
response,reponse responce
responsibility,responnsibilty
responsible,reponsible
restaurant,restaraunt resteraunt restraunt
restaurants,restaraunts resteraunts
restoration,restauration
restraint,restraunt
resurrecting,resurecting
resurrection,ressurection
retaliated,retalitated
retaliation,retalitation
reversible,reversable
revolutionary,revolutionar
rewrite,rewriet
rhyme,rhymme
rhythm,rhythem rhythim rythem rythim rythm
ridiculous,rediculous
rigor,rigeur
rigorous,rigourous
rigour,rigeur
ringing,rininging
rococo,rococco
room-mate,roomate
roommate,roomate
roughly,rougly
rule,rulle
sacrifice,sacrafice
safety,saftey
salary,salery
same,smae
sandwich,sandwhich
sassy,sasy
satellite,satelite sattelite
satellites,satelites sattelites
satyr,sotyr
says,sasy syas
scalable,scaleable
schedule,schedual
scholarly,scholarstic
scholastic,scholarstic
sclera,clera
script,scirpt scripot
scroll,scoll
secede,seceed
seceded,secceeded seceeded
secretary,secratary secretery
seize,sieze
seized,siezed
seizing,siezing
seizure,siezure
seizures,siezures
sense,sence
separate,seperate
separated,seperated
separately,seperately
separates,seperates
separating,seperating
separation,seperation
sepulcher,sepulchure sepulcre
sepulchre,sepulchure sepulcre
sergeant,sargant
serval,cervial
servile,cervial
several,severeal
severely,severley
shadow,shaddow
sheath,sheat
sheet,sheat
sheriff,sherif
shining,shineing
should,shoudl shoudln sould
shouldn't,shoudln shouldnt
show,sohw
sidereal,sedereal sideral
siege,seige
signatories,signitories
signatory,signitory
significantly,signifantly significently
similar,similiar simmilar
similarity,similiarity
similarly,similarily
simpler,simplier
simply,simpley
simultaneous,simultanous
since,sicne sinse
sincerely,sincerley
sines,sinse
singsong,singsog
size,sieze
sized,siezed
sizing,siezing
sneeze,snese
sold,sould
soldiers,soliders
soliloquy,soliliquy
solitary,solatary
some,smoe soem
sophisticated,sophicated suphisticated
sophomore,sophmore
sound,soudn
sounds,soudns
soup,suop
south,sourth
southern,sourthern
souvenir,souvenier
souvenirs,souveniers
sovereign,soverign
sovereignty,sovereignity soverignity
specialised,speciallized
specialized,speciallized
specific,specif
specify,specif
specimen,speciman
spectacular,spectauclar
speech,speach
spermatozoa,spermatozoan
spermatozoon,spermatozoan
sponsor,sponser
sponsored,sponzored
spontaneous,spontanous
spread,spreaded
start,strat
statement,statment
stop,stpo
stories,storeis storise
story,sotry sotyr stopry stoyr stroy
strand,strnad
strange,stange
strata,strat
strategic,startegic
strategies,startegies stradegies
strategy,startegy stradegy
strength,strenght
strengthen,strenghen strenghten
strengthened,strenghened strenghtened
strengthening,strenghening strenghtening
strenuous,strenous
strictest,strictist
stringent,stingent
striven,strived
strongest,stornegst
strove,strived
structure,stucture
structured,stuctured
stubbornness,stubborness
study,studdy
stylus,stilus
subpoena,sepina
subsidiary,subsidary subsiduary
substance,substace
substantial,substatial
subterranean,subterranian
subtract,substract
subtracted,substracted
subtracting,substracting
subtraction,substraction
subtracts,substracts
succeed,seceed suceed
succeeded,secceeded seceeded suceeded
succeeding,suceeding
succeeds,suceeds
success,sucess
successes,sucesses
successful,succesful successfull sucesful sucessfull
successfully,succesfully succesfuly sucesfully sucesfuly sucessfully sucessfuly
succession,succesion sucesion sucession
successive,succesive sucessive
sufficient,sufficent
sufficiently,sufficently
suffrage,sufferage
summary,sumary
superintendent,superintendant
supersede,supercede
superseded,superceded
supplanted,surplanted
support,wupport
suppose,supose
supposed,suposed
supposedly,suposedly
supposes,suposes
supposing,suposing
suppress,supress
suppressed,supressed surpressed
suppresses,supresses
suppressing,supressing
surely,surley
surly,surley
surprise,suprise suprize surprize
surprised,suprised suprized surprized
surprising,suprising suprizing surprizing
surprisingly,suprisingly suprizingly surprizingly
surrendered,surrended
surreptitious,surrepetitious surreptious
surreptitiously,surrepetitiously surreptiously
surround,suround
surrounded,surounded surrended
surrounding,surounding
surroundings,suroundings
surrounds,surounds
surveyor,surveyer
survivors,survivers
susceptible,suseptible
swear,swaer
swears,swaers
swimming,swiming
symmetric,symmetral
symmetrical,symetrical
symmetrically,symetrically symmetricaly
symmetry,symetry
synonymous,synonomous
syphilis,syphyllis
syrup,syrap
take,tkae
takes,tkaes
taking,tkaing
talked,talekd
talking,tlaking
targeted,targetted
targeting,targetting
taste,tast
tattoos,tattooes
taught,teached
taxonomic,taxanomic
taxonomy,taxanomy
technician,techician
technicians,techicians
temperament,temperment
temperate,temparate
temperature,temperture
tendencies,tendancies
tendency,tendancy
tennis_player,tennisplayer
tentacle,tenacle
tentacles,tenacles
terrestrial,terrestial
territories,terriories
territory,terriory
terrorist,territorist
than,tahn thna
that,taht tath thgat thta tyhat
the,tghe ther thge tje tjhe
theater,theather
theatre,theather
their,ther theri thier
themselves,themselfs
then,thne
theologian,theologist
there,ther
these,theese
they,tehy tyhe
thickening,thikning
thief,theif
thieves,theives
thing,thign thnig
things,thigns thigsn thnigs
think,thikn thiunk tihkn
thinking,thikning
thinks,thikns
third,thrid
this,thsi tihs
thoroughly,throughly
those,ethose thsoe
three,threee
threshold,threshhold
through,throught thru
throughout,throught
time,tiem timne tiome
tobacco,tobbaco
today,todya
today's,todays
tolerance,tolerence
tomatoes,tomatos
tome,tiome
tomorrow,tommorow tommorrow
tonight,tongiht
torch,tourch
tornadoes,tornados
toroidal,toriodal
touch,tourch
toward,towrad
town,twon
traditionally,traditionaly
traffic,trafic
trafficked,trafficed
transcendence,transcendance
transcendent,trancendent transcendant
transcendental,transcendentational
transcending,trancending transending
transcribing,transcripting
transcription,transcripting
transferred,transfered
transferring,transfering
translator,translater
translators,translaters
transmissible,transmissable
tremolo,tremelo
trilogy,triology
troops,troups
troupes,troups
truly,truely
trunk,turnk
turnkey,turnk
tyranny,tyrany tyrrany
ubiquitous,ubiquitious
uncertainty,uncertainity
unconscious,unconcious
unconsciousness,unconciousness
unconventional,unconvential
undecidable,undecideable
unfortunately,unforetunately unfortunatly
unilateral,unilatreal
unilaterally,unilatreally
universities,univeristies univesities
university,univeristy univesity
unnecessarily,unneccesarily unneccessarily unnecesarily
unnecessary,unecessary unneccessary unnecesary
unpleasant,unplesant
unrepentant,unrepentent
unsaid,unsed
unsubstantiated,unsubstanciated
unsuccessful,unsuccessfull unsucesful unsucessfull
unsuccessfully,unsucesfuly unsucessfully
unsurprised,unsuprised unsuprized unsurprized
unsurprising,unsuprising unsuprizing unsurprizing
until,untill
unusable,unuseable
unused,unsed
unwieldy,unweildly unwieldly
upon,apon
usable,useable
usage,useage
use,uise useage
used,unsed
useful,usefull
usefully,usefuly
using,useing
usually,usally usualy
vacuum,vaccum vaccume
vagina,agina
valuable,valuble valueable
varieties,varities
variety,varity
vegetable,vegitable
vegetables,vegitables
vengeance,vengance
venomous,venemous
veranda,meranda
verification,verfication
very,veyr vrey vyer vyre
vicinity,vacinity
vigor,vigeur
vigorous,vigourous
vigour,vigeur
vilify,villify
villain,villian villin
villein,villin
villi,villin
visible,visable
visibly,visably
visiting,visting
volcano,volcanoe
volcanoes,volcanos
voluntary,volontary
volunteer,volonteer volounteer
volunteered,volonteered volounteered
volunteering,volonteering volounteering
volunteers,volonteers volounteers
want,watn wnat
want_to,wanna
wanted,wnated
wants,wnats
warrant,warrent
was,wass ws
wasn't,wasnt
weaponry,weaponary
wear,mear
weather,wether
weird,wierd
what,waht whta
when,wehn
wherever,whereever
whether,wether
which,hwihc whcih whic whihc wich
while,hwile
whole,hwole wohle
wholly,wholy
wield,weild
wielded,weilded
wife,wief
wild,weild
will,iwll wiull
wintry,wintery
witch,wich
with,iwth wiht witht wtih
withdraw,withdrawl
withdrawal,withdrawl
within,withing
women's,womens
won't,wont
wont,wont
work,owrk wokr wrok
working,wokring wroking
worsened,worstened
would,owudl woudl
write,rwite wriet
writing,wirting
written,writen
wrote,wroet
year,eyar yera
years,eyars eyasr yeasr yeras yersa
Nevada,nevade
Presbyterian,presbyterian
RSX,rsx
Stephen,Steffen
Susan,susan
ability,abilitey
about,abouy
absorption,absorbtion
accidentally,accidently
accommodate,accomodate acommadate
accord,acord
acquaintance,aquantance
acquire,equire
adultery,adultry
aggressive,aggresive
alcohol,alchohol
alcoholic,alchoholic
alive,allieve
all_right,alright
amateur,amature
ambivalent,ambivilant
amorphous,amourfous
amplification,amification
anatomy,anonomy anotomy
announce,annuncio
announcement,annonsment
anoint,annoint
anonymous,anynomous
appreciate,appresteate
appreciated,appreceiated
archetype,archeype
architecture,aratictature aricticure
arctic,artic
asterisk,asterick
asymmetric,asymetric
asymptote,asentote
at,ast
attentively,atentively
automatically,autoamlly
bankrupt,bankrot
basically,basicly
battalion,batallion
beginning,beggining beging bigginging
behavior,behaviour
behaviour,behavior
believe,beleive belive
benefits,benidifs
better,metter
bleat,blait
boycott,boygot
broccoli,brocolli
browse,bbrose
buoyant,bouyant
bureau,beauro
bureaucracy,beaurocracy buracracy burracracy
bush,buch
butter,buder budr budter
button,buton
by_by,byby
caller,cauler
came,gamne
caveats,cravets
cemetery,cemetary
changing,changeing
cheat,cheet
circle,cicle circue
circumstances,circumstaces
club,clob
cockamamie,cocamena
colleague,colleaque
colloquialism,colloquilism
colon,coaln
column,columne
combo,cumba
commercials,commerciasl
commitment,comitmment comittmen comittmend
committed,commited
committee,comitte commitee
companies,companys
compiler,comiler
complicated,compicated
computer,comupter
congratulations,congradulations
consensus,concensus
consistent,consident
consonant,consident
constant,contast contastant
continue,contunie
contribution,conibation
coolly,cooly
coping,copping
cosmopolitan,cosmoplyton
court,courst
crazy,crasy
credibility,credetability
critique,criqitue ctitique
croak,croke
crucified,crusifed
crucifixion,crucifiction
customization,custamisation
daily,daly
dangerous,danguages
dangle,dongle
decision,disition
defence,defense
defense,defence
defiantly,defenly
definite,definate
definitely,definately
deities,dieties
dependable,dependeble
description,descrption descrptn
desiccate,dessicate
despair,dispair
desperate,desparate
destroy,distroy
development,developement develpond
developments,develepment
dictionary,ductioneery
dinosaur,dinasaur dinasour
directly,direcyly
disagree,diagree
discuss,discuess
discussion,disssicion
dissect,disect
dissipate,disippate
distant,destint
distort,distart
distract,distarct
divulge,devulge
documentation,documtations
dog,dag doog
download,doenload
draft,deaft
dramatically,dramaticly
drunkenness,drunkeness
due,dur
during,duren
dynamic,dymatic dynaic
ecstasy,ecstacy
efficacy,efficity
efficient,efficat
efforts,effots
elegant,elagent elligit
embarrass,embarass embaress
embarrassment,embarassment
embed,imbed
encapsulation,encapsualtion
encyclopedia,encyclapidia encyclopia
engine,engins
enhance,enhence
enlightenment,enligtment
ennui,ennuui
enough,enought
environment,enviroment
environmental,envireminakl invermeantial
epitome,epitomy
error,errara erro
espresso,expresso
etiology,eitiology
evaluation,evaualtion
eventually,evtually
everything,evething
exceed,excede
except,excpt
execution,excution
exercise,excercise
exhilaration,exhileration
existence,egsistence existance
expedient,exspidient
explicitly,expleyly explity
extensions,extions
factorization,factontion
failure,failer
fantasia,phantasia
fantasy,famdasy
favor,faver
favour,faver
fax,faxe
festival,fistival
fiery,firey
flattering,flatterring
flux,fluk flukse
foresee,forsee
frustrating,frustartaion
function,fuction
generally,generly
gotten,gotton
government,goberment gobernement gobernment
graceful,gracefull
gradually,gradualy
grammar,grammer
guard,gaurd
guts,futs
happily,hapily
harass,harrass
have,havne
height,heighth
hello,hallo helo herlo
help,heellp hellp hlp
higher,higer
hippopotamus,hippopotamous
horse,hourse
housing,houssing
however,howaver howver
humanity,humaniti
hyphen,hifin hifine hiphine hyfin
hypothesis,hypotathes hypotathese
hysterical,hystrical
illegitimate,illegitament
immanent,immenant
immediately,imediaetly
implements,implemtes
in_case,incase
in_depth,indepth
in_fact,infact
inadvertent,inadvertant
incomplete,incompleet incomplot
inconvenience,inconvience
inconvenient,inconvenant
indent,ident
independent,independant independenent indepnends
indispensable,indispensible
inefficient,inefficite
infamy,imfamy
influential,influencial
initial,inital
initialized,initinized initized
inoculate,innoculate
insidious,incedious
insistent,insistant insistenet
installation,instulation
intelligent,intealignt intejilent intelegent intelegnent intelejent inteligent intelignt intellagant intellegent intellegint intellgnt
interested,intertes intertesd
interface,inerface
international,internation
interpret,interpretate
interpreter,interpretter
inventions,enventions
irresistible,irresistable
irritable,irritible
isotope,isotrop
iterate,interate
john,johhn
judgement,judgment
judgment,judgement
kilometer,lilometer
kilometre,lilometer
kipper,kippur
knowing,knawing
laser,luser
latest,latext
layer,lloyer
leave,leasve
leisure,lesure
lesion,liasion
liaison,liason
library,libary
likely,likly
liquefy,liquify
losing,lossing
madness,maddness
maintenance,maintanence
majority,majaerly majoraly
marshal,marshall
masks,maks
maximum,maxium
media,midia
memento,momento
memory,meory
metaphysical,pataphysical
mike,mic
millennium,millenium
minimum,minum
minuscule,miniscule
miscellaneous,misilous
mischievous,mischievious
monkey,minkay monkay
more,mroe
mosaic,mosaik
most_likely,mostlikely
mouser,mousr
moving,oving
naive,nieve
necessary,neccessary necesary necesser
neighbor,neighbour
neighbour,neighbor
nickelodeon,nickleodeon
niece,neice
no_one,noone
not_in,notin
noticeably,noticably
nuzzled,nozled
obfuscate,obsfuscate
objects,objectsion
occasion,ocassion
occasionally,accosinly occusionaly
occupied,occuppied
occurrence,occurence
octogenarian,octagenarian
old,olf
opossum,opposim
organize,organise organiz
orient,orientate
oscilloscope,oscilascope
parameter,parametic
parameters,paramers paranets
particular,partrucal
pattern,patten
peremptory,preemptory
permissible,permissable
permission,permition
permissive,permmasivie
phenomenal,phenominal
phone,fone
phonetic,funetik
picturesque,picaresque
playwright,playwrite
police,pollice
politic,politict
politician,polation
polygamy,poligamy
polypropylene,polypropalene
portray,protray
possible,possable
practical,practicle
pragmatism,pragmaticism
preceding,preceeding
precision,precion precios
prefixed,prefixt
prefixes,prefices
prerogative,perogative
privilege,privielage priviledge
problematic,proplematic
procedures,proceedures
pronunciation,pronensiation pronisation pronounciation
properly,properally
psychologist,pscolgst psicolagest psycolagest sicolagest
pursue,persue presue
pursued,presued
quiz,quoz
raccoon,reccona
radius,radious
rampantly,ramplily
rank,wrank
receive,recieve
recognize,reconise
recommend,reccomend
rectangle,rectangeles
recurring,reoccurring
redesign,redign
regardless,irregardless
repetition,repitition
replacement,replasments
resemblance,reseblence
respect,respct
respectfully,respecally
responsible,reposable
room,roon
roughly,rought
rudimentary,rudemtry
running,runnung
sacrilegious,sacreligious
safely,saftly
salute,salut
satisfy,satifly
scrabble,scrabdle
section,secion
segments,segements
seize,sieze
sense,sence
separate,seperate
several,seferal
sherbet,sherbert
signal,singal
simplicity,cimplicity simpfilty
simply,simplye
site,sitte
situation,situration
smile,smil
sneaked,snuck
sometimes,sometmes
sonic,soonec
specifically,specificialy
spell,spel
spoke,spoak
sponsored,sponsered
steering,stering
stomach,stumach
straitjacket,straightjacket
student,stutent
style_guide,styleguide
subpoena,subpena
subscribed,subjecribed
substitutions,subisitions substations
sugar,suger
superfluous,superfulous
supersede,supercede
swimwear,swim_wear
sylph,slyph
synchronization,syncorization
tattoos,tattos
team,tem
technically,techniquely
test,tesst ttest
tests,tets
than_or,thanot
that,taht
the,teh thw
themselves,theirselves
theoretical,teridical theridically
theoretically,thredically
this,ths
throughout,thruout
titillate,titalate
tomorrow,tommorrow tomorow
tough,taff
tragedy,tradegy
trouble,trubbel
tunnel_like,tunnellike
turned,tured
two,teo
tyranny,tyrrany
unconscious,unconscience
unconstitutional,unconisitional
under_ladder,underladder
unfortunately,unformanlly unfortally unfortunently
unintelligible,unentelegible
unnatural,unatourral unaturral unnaturral
up_cast,upcast
uranium,uranisium
utmost,upmost
version,verison
vinaigrette,vinagarette
volley,volye
voluntarism,volunteerism
voluptuous,volumptuous
wait,waite
want,mant
ward,whard
warlord,warloord
wasting,wadting
weaken,wicken
weird,wierd
what,whaaat
wimp,whimp
won't,wan't
writing,writting
yield,yeild
your,youe
